Gene	N
ENSG00000000003	9047.50387596899
ENSG00000000419	30201.3203125
ENSG00000000457	30995.0775193798
ENSG00000000460	30995.0775193798
ENSG00000000938	30995.0775193798
ENSG00000000971	30955.6976744186
ENSG00000001036	30955.6976744186
ENSG00000001084	30953.3203125
ENSG00000001167	30995.0775193798
ENSG00000001460	24874.5426356589
ENSG00000001461	30995.0775193798
ENSG00000001497	9047.50387596899
ENSG00000001561	30780.3671875
ENSG00000001629	20524.3333333333
ENSG00000001630	14043.8217054264
ENSG00000001631	30955.6976744186
ENSG00000002016	25826.953125
ENSG00000002330	30978.6746031746
ENSG00000002549	28335.3255813953
ENSG00000002586	5475.87596899225
ENSG00000002587	30508.8759689922
ENSG00000002726	25996.9921875
ENSG00000002745	30246.0775193798
ENSG00000002822	30995.0775193798
ENSG00000002834	30246.0775193798
ENSG00000002919	30995.0775193798
ENSG00000002933	30992.6953125
ENSG00000003056	30782.7364341085
ENSG00000003096	9047.50387596899
ENSG00000003137	30721.2170542636
ENSG00000003147	30955.6976744186
ENSG00000003249	30995.0775193798
ENSG00000003393	30989.6953125
ENSG00000003400	30777.3671875
ENSG00000003402	25993.9921875
ENSG00000003436	30995.0775193798
ENSG00000003509	25047.503875969
ENSG00000003756	30984.2283464567
ENSG00000003987	25490.7596899225
ENSG00000004059	30995.0775193798
ENSG00000004139	30995.0775193798
ENSG00000004142	30995.0775193798
ENSG00000004399	30995.0775193798
ENSG00000004455	30995.0775193798
ENSG00000004468	30782.7364341085
ENSG00000004478	30990.609375
ENSG00000004487	9047.50387596899
ENSG00000004534	30712.1023622047
ENSG00000004660	30240.6953125
ENSG00000004700	30782.7364341085
ENSG00000004766	30995.0775193798
ENSG00000004777	30992.6953125
ENSG00000004779	30781.265625
ENSG00000004799	30995.3359375
ENSG00000004809	30990.59375
ENSG00000004838	30771.9133858268
ENSG00000004864	30719.3359375
ENSG00000004866	30995.0775193798
ENSG00000004897	30995.0775193798
ENSG00000004939	25392.6124031008
ENSG00000004961	9047.50387596899
ENSG00000004975	30989.6953125
ENSG00000005001	31023.1796875
ENSG00000005007	31069.76
ENSG00000005020	30508.8759689922
ENSG00000005022	6387.7519379845
ENSG00000005059	9047.50387596899
ENSG00000005075	30995.3359375
ENSG00000005100	30777.3671875
ENSG00000005102	30995.0775193798
ENSG00000005156	30995.0775193798
ENSG00000005175	30953.328125
